City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Vao,NC,76.24,light rain,-22.6667,167.4833,Hotel Kou-Bugny
3,Vanavara,RU,73.96,light rain,60.34,102.2797,
7,Kapaa,US,82.38,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
9,Atuona,PF,78.08,clear sky,-9.8,-139.0333,Villa Enata
10,Kavieng,PG,84.65,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
12,Padang,ID,82.45,overcast clouds,-0.9492,100.3543,Mercure Padang
13,Praia,CV,75.74,broken clouds,14.9215,-23.5087,LT Aparthotel
17,Komsomolskiy,UZ,72.32,overcast clouds,40.4272,71.7189,Ikathouse
20,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
23,Rikitea,PF,72.59,broken clouds,-23.1203,-134.9692,People ThankYou
32,Waverly,US,84.13,clear sky,42.7392,-84.6208,"Crowne Plaza Lansing West, an IHG Hotel"
37,Puerto Ayora,EC,71.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
38,Jiuquan,CN,85.19,clear sky,39.7432,98.5174,Jiuquan Hotel
39,Lazaro Cardenas,MX,77.86,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
42,Kavaratti,IN,82.35,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
43,Shetpe,KZ,79.86,overcast clouds,44.1667,52.1167,Rtsm Shetpe Analog
44,Morant Bay,JM,83.82,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
45,Hasaki,JP,77.29,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
49,Arkansas City,US,87.42,clear sky,37.062,-97.0384,Super 8 by Wyndham Arkansas City KS
51,Dakar,SN,76.08,broken clouds,14.6937,-17.4441,Novotel Dakar
52,Ishigaki,JP,84.33,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
53,Hilo,US,80.33,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
55,Cockburn Town,TC,80.56,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
57,Vaini,TO,80.76,scattered clouds,-21.2,-175.2,Keleti Beach Resort
58,Mayo,US,78.26,clear sky,38.8876,-76.5119,Resorts Resource Group International
69,Sao Filipe,CV,73.72,broken clouds,14.8961,-24.4956,Hotel Xaguate
72,Nioro,GM,76.01,broken clouds,13.35,-15.75,
73,San Patricio,US,84.88,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
74,Makakilo City,US,80.35,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
75,Dingle,PH,87.87,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
76,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
78,Gwadar,PK,84.0,broken clouds,25.1216,62.3254,Sadaf Resort
79,Salalah,OM,86.09,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
81,Jamestown,US,76.71,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
84,Kirakira,SB,83.55,broken clouds,-10.4544,161.9205,SanBiz Lodge
89,Tiarei,PF,82.42,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
92,Japura,ID,83.91,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
95,Sao Jose Da Coroa Grande,BR,74.07,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
96,Redlands,US,82.92,haze,34.0556,-117.1825,Dynasty Suites Redlands
97,Bulolo,PG,78.53,broken clouds,-7.2,146.65,Pine Lodge Bulolo
101,San Cristobal,VE,75.38,scattered clouds,7.7669,-72.225,Pirineos
102,Katsuura,JP,74.77,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
108,Kichera,RU,75.33,overcast clouds,55.9375,110.0997,
111,Hithadhoo,MV,81.91,overcast clouds,-0.6,73.0833,Scoop Guest House
121,Ndele,CF,70.34,overcast clouds,8.4109,20.6473,
122,Touros,BR,72.23,few clouds,-5.1989,-35.4608,INN NEW HORIZON
123,Neiafu,TO,83.08,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
124,Kimbe,PG,83.64,moderate rain,-5.5502,150.1429,Kimbe Bay Hotel
126,Humaita,BR,71.47,few clouds,-7.5061,-63.0208,Corrêa Hotel
127,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
132,Acapulco,MX,76.82,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
134,Thinadhoo,MV,83.77,overcast clouds,0.5333,72.9333,
138,Pitimbu,BR,73.99,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
143,Harper,LR,76.19,moderate rain,4.375,-7.7169,Screensaver
146,Majene,ID,83.32,broken clouds,-3.5403,118.9707,Kost Putri RABBANI
151,Hami,CN,85.96,overcast clouds,42.8,93.45,Laoyutang Resort
156,Butaritari,KI,82.71,few clouds,3.0707,172.7902,Isles Sunset Lodge
160,Suez,EG,70.77,clear sky,29.9737,32.5263,Green House
163,Biloela,AU,70.77,overcast clouds,-24.4167,150.5,Silo Motor Inn Biloela
168,Katherine,AU,82.72,few clouds,-14.4667,132.2667,Pine Tree Motel
170,Port Blair,IN,84.24,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
171,Lorengau,PG,83.34,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
172,Isangel,VU,80.89,overcast clouds,-19.55,169.2667,Tanna Lodge
173,Nhulunbuy,AU,84.81,few clouds,-12.2333,136.7667,East Arnhem Real Estate
176,Ixtapa,MX,78.22,overcast clouds,20.7,-105.2,hotel la terminal
177,Rantauprapat,ID,85.89,overcast clouds,2.1,99.8333,Permata Land Hotel & Resort
179,Riyadh,SA,84.34,few clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
180,Safaga,EG,80.4,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
182,Victoria,HK,87.85,overcast clouds,22.2855,114.1577,Mini Central
183,Matara,LK,81.07,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
185,Bulgan,MN,71.73,few clouds,48.8125,103.5347,Unitel Булган салбар
191,Faanui,PF,80.29,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
193,Aswan,EG,83.5,clear sky,24.0934,32.907,Nuba Nile
195,Daliao,PH,84.83,overcast clouds,5.8611,124.9533,Dolly's Wifi House
197,Black River,JM,78.87,overcast clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
198,Umm Lajj,SA,81.46,clear sky,25.0213,37.2685,Moon light Furnished Units
203,Elizabeth City,US,77.02,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
204,Marawi,PH,81.34,broken clouds,7.9986,124.2928,Derogongan Residence
205,Dongzhen,CN,81.27,overcast clouds,22.3797,110.9389,茂名中汇时尚酒店
206,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights
207,Waddan,LY,72.36,clear sky,29.1614,16.139,محل الشريف محمد العايب
210,Semporna,MY,81.57,broken clouds,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
211,Puqi,CN,87.53,broken clouds,29.7167,113.8833,Ramada Plaza Chibi
212,Hirara,JP,84.47,light rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
213,Nishihara,JP,82.06,overcast clouds,26.1842,127.7558,Minshuku Agaihama
215,Grand-Santi,GF,71.89,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
217,Puerto Leguizamo,CO,70.83,few clouds,-0.1934,-74.7819,la casona de juancho
218,Aklavik,CA,72.12,scattered clouds,68.2191,-135.0107,Aklavik Inn
219,Bom Jesus,BR,71.35,scattered clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
221,Monrovia,LR,76.32,moderate rain,6.3005,-10.7969,Sunset Inn
222,Tete,MZ,71.69,overcast clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
225,Marzuq,YE,79.27,overcast clouds,14.4,46.4667,
228,Tortoli,IT,71.42,clear sky,39.9256,9.6572,Hotel La Bitta
229,Panama City,PA,82.92,scattered clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
230,Havelock,US,80.55,clear sky,34.8791,-76.9013,Sherwood Motel
231,Bengkulu,ID,82.62,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
239,Surat Thani,TH,85.98,few clouds,9.1667,99.25,Suankafae Resort
242,Chauk,MM,86.58,overcast clouds,20.8833,94.8167,Bo Khin Guest House
243,Darhan,MN,75.31,clear sky,49.4867,105.9228,Buudai Hotel
248,Houma,US,80.01,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
253,Carnarvon,AU,73.78,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
255,Pokaran,IN,87.03,clear sky,26.9167,71.9167,Motel Pokaran - RTDC
257,Nola,IT,72.63,clear sky,40.922,14.5329,Palazzo Giordano Bruno
258,Bocana De Paiwas,NI,72.79,moderate rain,12.7857,-85.1227,Guapinol Cabaña Monge
261,Pochutla,MX,76.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
262,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
263,Korla,CN,82.44,overcast clouds,41.7597,86.1469,Gulisitan Hotel
267,Dunmore Town,BS,81.0,overcast clouds,25.5,-76.65,Coral Sands Hotel
268,Bayshore Gardens,US,85.98,clear sky,27.4253,-82.5904,Ramada by Wyndham Sarasota Waterfront
273,Cruz Grande,MX,74.82,overcast clouds,16.7333,-99.1333,Hotel Camila
274,Soyo,AO,71.83,overcast clouds,-6.1349,12.3689,Hospedaria ndozi'ame
275,Naze,JP,74.32,moderate rain,28.3667,129.4833,Shishime Hotel
276,Rincon,US,81.86,broken clouds,32.296,-81.2354,Days Inn Rincon
277,Haines Junction,CA,71.55,overcast clouds,60.7522,-137.5108,Parkside Inn
285,Oum Hadjer,TD,87.69,broken clouds,13.2954,19.6966,
287,Veraval,IN,84.69,overcast clouds,20.9,70.3667,Lords Inn Somnath
293,Dzhebariki-Khaya,RU,71.64,overcast clouds,62.2167,135.8,
294,Awjilah,LY,76.21,clear sky,29.1081,21.2869,المنزل
295,Carutapera,BR,73.49,few clouds,-1.195,-46.02,Lidera
298,Vaitape,PF,80.22,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
300,Torbat-E Jam,IR,82.2,clear sky,35.244,60.6225,White building
303,Eydhafushi,MV,83.1,overcast clouds,5.1033,73.0708,Soneva Fushi
305,Mbuji-Mayi,CD,70.23,clear sky,-6.15,23.6,HOTEL METROPOLE DU KASAI
309,College,US,72.59,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
312,Benghazi,LY,73.94,clear sky,32.1167,20.0667,Tibesti Hotel
313,Wanning,CN,87.51,broken clouds,18.8003,110.3967,Paradise Hotel
314,Myitkyina,MM,72.91,overcast clouds,25.3833,97.4,Shwe Phyu Hotel
316,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
317,Poum,NC,79.11,overcast clouds,-20.2333,164.0167,
319,Las Lomas,PA,78.21,scattered clouds,8.4333,-82.4,Hotel Castilla
321,Airai,TL,70.79,scattered clouds,-8.9266,125.4092,
323,Shelburne,CA,77.45,clear sky,44.0787,-80.2041,The Retreat at the Farm
327,Maragogi,BR,73.83,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
329,Upata,VE,77.2,few clouds,8.0086,-62.3989,Posada Villa Nela
330,Ouahigouya,BF,79.95,overcast clouds,13.5828,-2.4216,Hotel Liberte
331,Mumford,GH,75.2,moderate rain,5.2618,-0.759,Spanish Villa
333,Panguna,PG,81.72,overcast clouds,-6.3164,155.4848,
334,Aracati,BR,73.0,few clouds,-4.5617,-37.7697,Hostel Pousada Ibiza
335,Kouroussa,GN,70.23,overcast clouds,10.65,-9.8833,Hotel Tando Plus
338,The Valley,AI,82.81,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
340,Celestun,MX,78.78,scattered clouds,20.8667,-90.4,Posada Lilia
347,Pau,FR,72.25,clear sky,43.4167,-0.5833,Pelecq Hourdebaigt Jeannine
353,Salinopolis,BR,77.16,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
356,Khandyga,RU,72.37,overcast clouds,62.6667,135.6,Apel'sin
358,Tura,IN,74.44,heavy intensity rain,25.5198,90.2201,Hotel RIKMAN Continental
359,Iquitos,PE,77.04,few clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
361,Innisfail,AU,73.56,overcast clouds,-17.5333,146.0333,Moondarra Motel
367,Merauke,ID,82.63,broken clouds,-8.4667,140.3333,
368,Roebourne,AU,79.74,overcast clouds,-20.7833,117.1333,Latitude20 Roebourne Village
369,Mount Isa,AU,74.97,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
371,Manicore,BR,75.15,clear sky,-5.8092,-61.3003,Hotel Durval
375,Fukue,JP,77.36,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
377,Bilma,NE,87.84,clear sky,18.6853,12.9164,Expeditions Ténére voyages
387,Grand Forks,US,71.53,clear sky,47.9417,-97.4337,Warrior Inn
388,Hailar,CN,74.79,clear sky,49.2,119.7,Holiday Inn & Suites Hulunbuir
389,Nanakuli,US,81.77,scattered clouds,21.3906,-158.1547,Camp Pālehua
391,Tulsipur,NP,87.48,clear sky,28.131,82.2973,Ekanta Hotel Pvt. Ltd
394,Hamilton,US,83.5,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
395,Quelimane,MZ,71.55,scattered clouds,-17.8786,36.8883,Hotel Flamingo
397,Anzio,IT,73.98,few clouds,41.4853,12.6179,Hotel Lido Garda
398,Wasilla,US,72.95,smoke,61.5814,-149.4394,Alaska's Select Inn Wasilla
400,Morros,BR,72.77,few clouds,-9.4467,-46.3003,
402,Mawlaik,MM,80.11,overcast clouds,23.6333,94.4167,AKZ Guest House
405,Tomatlan,MX,77.47,overcast clouds,19.9333,-105.25,El Salvial
406,Kokopo,PG,84.16,clear sky,-4.352,152.2633,Kokopo Beach Bungalow Resort
407,Eyl,SO,78.57,overcast clouds,7.9803,49.8164,Amiin Hotel
