City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Lebu,CL,-37.6167,-73.65,50.22,85,96,7.4,overcast clouds
1,Vao,NC,-22.6667,167.4833,76.24,84,97,11.79,light rain
2,Kaitangata,NZ,-46.2817,169.8464,46.11,64,12,2.64,few clouds
3,Vanavara,RU,60.34,102.2797,73.96,59,80,8.25,light rain
4,Toora-Khem,RU,52.4675,96.11,66.51,37,100,4.68,overcast clouds
5,Barrow,US,71.2906,-156.7887,50.02,66,0,9.22,clear sky
6,Punta Arenas,CL,-53.15,-70.9167,33.91,75,75,23.02,broken clouds
7,Kapaa,US,22.0752,-159.319,82.38,81,100,17.27,light rain
8,Cidreira,BR,-30.1811,-50.2056,62.31,85,100,12.03,overcast clouds
9,Atuona,PF,-9.8,-139.0333,78.08,69,0,19.35,clear sky
10,Kavieng,PG,-2.5744,150.7967,84.65,69,27,14.47,scattered clouds
11,Tuktoyaktuk,CA,69.4541,-133.0374,60.8,36,20,16.11,few clouds
12,Padang,ID,-0.9492,100.3543,82.45,72,94,3.67,overcast clouds
13,Praia,CV,14.9215,-23.5087,75.74,73,75,11.5,broken clouds
14,Mahebourg,MU,-20.4081,57.7,69.26,94,20,5.75,few clouds
15,Byron Bay,AU,-28.65,153.6167,68.94,49,0,7.85,clear sky
16,Klaksvik,FO,62.2266,-6.589,50.92,99,100,22.86,moderate rain
17,Komsomolskiy,UZ,40.4272,71.7189,72.32,53,99,2.3,overcast clouds
18,Pahrump,US,36.2083,-115.9839,98.65,7,0,10.0,clear sky
19,Hermanus,ZA,-34.4187,19.2345,52.81,47,34,6.49,scattered clouds
20,Avarua,CK,-21.2078,-159.775,78.85,69,20,6.91,few clouds
21,Kodiak,US,57.79,-152.4072,56.71,67,100,9.22,overcast clouds
22,Port Alfred,ZA,-33.5906,26.891,54.43,54,62,10.22,broken clouds
23,Rikitea,PF,-23.1203,-134.9692,72.59,64,60,2.46,broken clouds
24,Racale,IT,39.9631,18.0938,68.34,61,1,4.18,clear sky
25,Albany,US,42.6001,-73.9662,68.41,84,100,7.18,overcast clouds
26,Narsaq,GL,60.9167,-46.05,43.02,73,100,0.58,overcast clouds
27,Bluff,NZ,-46.6,168.3333,46.8,65,10,2.93,clear sky
28,Ushuaia,AR,-54.8,-68.3,24.13,93,83,6.13,broken clouds
29,Esperance,AU,-33.8667,121.9,69.08,68,0,16.15,clear sky
30,Ribeira Grande,PT,38.5167,-28.7,66.72,89,0,2.93,clear sky
31,Yoichi,JP,43.2039,140.7703,64.13,82,75,4.34,broken clouds
32,Waverly,US,42.7392,-84.6208,84.13,37,0,12.66,clear sky
33,Paamiut,GL,61.994,-49.6678,38.3,77,100,17.38,light rain
34,Saskylakh,RU,71.9167,114.0833,62.28,35,71,12.82,broken clouds
35,Ancud,CL,-41.8697,-73.8203,42.22,76,15,6.38,few clouds
36,Bethel,US,41.3712,-73.414,67.35,90,100,6.91,overcast clouds
37,Puerto Ayora,EC,-0.7393,-90.3518,71.55,92,67,8.01,broken clouds
38,Jiuquan,CN,39.7432,98.5174,85.19,15,10,7.18,clear sky
39,Lazaro Cardenas,MX,17.9583,-102.2,77.86,84,100,10.98,overcast clouds
40,Tasiilaq,GL,65.6145,-37.6368,35.76,98,100,2.15,light rain
41,New Norfolk,AU,-42.7826,147.0587,51.93,71,100,2.84,overcast clouds
42,Kavaratti,IN,10.5669,72.642,82.35,77,98,12.57,overcast clouds
43,Shetpe,KZ,44.1667,52.1167,79.86,30,99,4.54,overcast clouds
44,Morant Bay,JM,17.8815,-76.4093,83.82,81,100,7.16,overcast clouds
45,Hasaki,JP,35.7333,140.8333,77.29,81,100,10.42,overcast clouds
46,Busselton,AU,-33.65,115.3333,67.12,77,3,25.14,light rain
47,Tuapse,RU,44.1125,39.0742,62.24,66,7,7.45,clear sky
48,Ilulissat,GL,69.2167,-51.1,39.22,75,40,10.36,scattered clouds
