City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bredasdorp,ZA,2022-06-15 22:07:42,-34.5322,20.0403,46.53,78,9,3.24
1,Faya,SA,2022-06-15 22:07:43,18.3851,42.4509,72.12,20,63,8.39
2,Ancud,CL,2022-06-15 22:07:44,-41.8697,-73.8203,47.23,88,40,3.87
3,Mahibadhoo,MV,2022-06-15 22:07:45,3.7833,72.9667,83.62,72,96,13.82
4,Nizhniy Kuranakh,RU,2022-06-15 22:07:45,58.8353,125.4869,57.74,71,3,1.43
5,Mataura,NZ,2022-06-15 22:07:45,-46.1927,168.8643,49.48,87,96,8.01
6,Chokurdakh,RU,2022-06-15 22:07:46,70.6333,147.9167,64.89,30,85,6.8
7,Avarua,CK,2022-06-15 22:04:24,-21.2078,-159.775,82.45,74,40,13.8
8,Tehuacan,MX,2022-06-15 22:07:48,18.45,-97.3833,66.2,86,98,9.71
9,Kallosemjen,HU,2022-06-15 22:07:48,47.8608,21.9393,60.46,58,11,6.31
10,Yar-Sale,RU,2022-06-15 22:07:49,66.8333,70.8333,53.96,60,2,11.32
11,Hermanus,ZA,2022-06-15 22:07:49,-34.4187,19.2345,51.75,71,7,7.92
12,Bonavista,CA,2022-06-15 22:07:50,48.6499,-53.1147,45.05,78,29,5.1
13,Yellowknife,CA,2022-06-15 22:07:50,62.456,-114.3525,67.93,42,99,7.07
14,Poum,NC,2022-06-15 22:07:51,-20.2333,164.0167,77.92,77,5,13.96
15,Rikitea,PF,2022-06-15 22:07:51,-23.1203,-134.9692,72.75,70,49,6.6
16,Makakilo City,US,2022-06-15 22:07:52,21.3469,-158.0858,84.61,59,100,13.8
17,Busselton,AU,2022-06-15 22:07:53,-33.65,115.3333,61.11,84,3,8.84
18,Gawler,AU,2022-06-15 22:07:53,-34.6,138.7333,54.91,97,99,3.4
19,Baherden,TM,2022-06-15 22:07:54,38.4362,57.4316,90.1,29,69,6.6
20,Ushuaia,AR,2022-06-15 22:05:31,-54.8,-68.3,42.46,75,40,11.5
21,Dubuque,US,2022-06-15 22:07:54,42.4833,-90.8668,90.05,56,75,21.85
22,Dingle,PH,2022-06-15 22:07:55,10.9995,122.6711,77.72,88,65,4.29
23,Lorengau,PG,2022-06-15 22:07:55,-2.0226,147.2712,83.71,71,86,8.23
24,Qaanaaq,GL,2022-06-15 22:07:56,77.484,-69.3632,30.63,76,77,0.58
25,Cidreira,BR,2022-06-15 22:07:57,-30.1811,-50.2056,59.58,81,4,2.39
26,Talnakh,RU,2022-06-15 22:07:57,69.4865,88.3972,65.21,55,75,5.55
27,Benguela,AO,2022-06-15 22:07:57,-12.5763,13.4055,67.93,71,11,3.47
28,Saint-Joseph,RE,2022-06-15 22:07:58,-21.3667,55.6167,68.38,84,38,12.64
29,Punta Arenas,CL,2022-06-15 22:05:41,-53.15,-70.9167,44.71,65,75,23.02
30,Hilo,US,2022-06-15 22:06:10,19.7297,-155.09,82.27,75,20,6.91
31,Port Hedland,AU,2022-06-15 22:08:00,-20.3167,118.5667,60.85,72,58,8.05
32,San Severo,IT,2022-06-15 22:08:00,41.6897,15.376,76.68,45,63,0.74
33,Vaini,TO,2022-06-15 22:08:01,-21.2,-175.2,78.96,73,75,8.05
34,Faanui,PF,2022-06-15 22:08:02,-16.4833,-151.75,81.03,70,14,17.63
35,Naryan-Mar,RU,2022-06-15 22:08:02,67.6713,53.087,44.17,81,53,7.76
36,Castro,BR,2022-06-15 22:08:03,-24.7911,-50.0119,53.67,86,35,1.61
37,Miles City,US,2022-06-15 22:06:59,46.4083,-105.8406,61.77,59,100,33.38
38,Lata,PT,2022-06-15 22:07:02,40.1629,-8.3327,65.12,95,48,4.47
39,Samarai,PG,2022-06-15 22:08:04,-10.6167,150.6667,82.06,80,90,9.82
40,Ponta Do Sol,PT,2022-06-15 22:08:05,32.6667,-17.1,68.63,71,38,10.22
41,Nemuro,JP,2022-06-15 22:08:06,43.3236,145.575,52.16,96,100,13.18
42,Coquimbo,CL,2022-06-15 22:03:18,-29.9533,-71.3436,55.13,87,75,8.05
43,Upernavik,GL,2022-06-15 22:08:06,72.7868,-56.1549,32.59,69,100,4.59
44,Barra Dos Coqueiros,BR,2022-06-15 22:09:07,-10.9089,-37.0386,77.02,73,75,13.8
45,Ayr,GB,2022-06-15 22:09:08,55.4627,-4.6339,58.98,82,20,6.91
46,Kachug,RU,2022-06-15 22:09:08,53.9606,105.8817,61.57,79,67,2.26
47,Salinopolis,BR,2022-06-15 22:09:09,-0.6136,-47.3561,79.18,78,96,11.97
48,Shellbrook,CA,2022-06-15 22:09:10,53.2168,-106.4011,56.43,96,100,4.54
49,Kenai,US,2022-06-15 22:09:11,60.5544,-151.2583,66.02,64,0,12.66
50,Arraial Do Cabo,BR,2022-06-15 22:09:11,-22.9661,-42.0278,64.26,72,0,4.61
51,Yerbogachen,RU,2022-06-15 22:06:55,61.2767,108.0108,60.51,82,45,1.23
52,Bluff,NZ,2022-06-15 22:09:12,-46.6,168.3333,49.8,76,52,26.24
53,Sitka,US,2022-06-15 22:07:08,57.0531,-135.33,62.49,51,0,8.05
54,Warri,NG,2022-06-15 22:09:12,5.5167,5.75,74.57,95,58,4.07
